순위,종목명,검색비율,현재가,등락률
1,SK하이닉스,10.16%,"577,000","상승33,000"
2,삼성전자,8.55%,"109,500","상승1,100"
3,에코프로,8.45%,"117,500","상승20,600"
4,두산에너빌리티,3.05%,"76,800","하락3,600"
5,현대차,2.41%,"315,500",상승500
6,알테오젠,2.40%,"458,000","상승1,500"
7,에코프로비엠,2.01%,"173,300","상승13,600"
8,한화오션,1.97%,"114,000","상승5,500"
9,디앤디파마텍,1.85%,"83,000","하락12,900"
10,천일고속,1.84%,"368,000","하락45,000"
11,에임드바이오,1.83%,"48,550","하락8,650"
12,에스피지,1.52%,"75,000","상승8,400"
13,LG에너지솔루션,1.37%,"451,500","상승25,500"
14,NAVER,1.27%,"249,000",하락500
15,에이비엘바이오,1.22%,"186,800","하락3,800"
16,삼성에피스홀딩스,1.19%,"515,000",보합0
17,현대로템,1.11%,"192,100","상승10,100"
18,클로봇,1.09%,"46,100","상승3,700"
19,에어부산,1.08%,"1,900",상승176
20,삼성SDI,1.08%,"314,000","상승6,500"
21,신성델타테크,1.04%,"71,100","상승7,900"
22,POSCO홀딩스,1.03%,"319,000","상승8,000"
23,펩트론,0.92%,"267,000","하락18,000"
24,대화제약,0.92%,"23,300","상승4,130"
25,셀트리온,0.89%,"187,100","상승3,800"
26,삼성중공업,0.89%,"25,900",상승450
27,포스코퓨처엠,0.85%,"220,500","상승14,500"
28,엔씨소프트,0.83%,"202,000","하락10,000"
29,이수스페셜티케미컬,0.82%,"59,500","상승8,000"
30,카카오,0.82%,"62,000",상승500
