name,score,ts
현대차,12.43,2026-01-19 23:03:48
삼성전자,9.03,2026-01-19 23:03:48
휴림로봇,-5.59,2026-01-19 23:03:48
SK하이닉스,31.06,2026-01-19 23:03:48
두산에너빌리티,1.52,2026-01-19 23:03:48
NAVER,7.9,2026-01-19 23:03:48
포스코DX,17.92,2026-01-19 23:03:48
삼성SDI,3.13,2026-01-19 23:03:48
현대무벡스,16.17,2026-01-19 23:03:48
우리기술,-3.33,2026-01-19 23:03:48
뉴로메카,-95.95,2026-01-19 23:03:48
두산로보틱스,-8.69,2026-01-19 23:03:48
삼성중공업,1.77,2026-01-19 23:03:48
한화오션,11.52,2026-01-19 23:03:48
POSCO홀딩스,2.0,2026-01-19 23:03:48
LG전자,1.81,2026-01-19 23:03:48
에코프로,-12.57,2026-01-19 23:03:48
유진로봇,-8.56,2026-01-19 23:03:48
알테오젠,29.52,2026-01-19 23:03:48
