rank,name,score,ts
1,삼성전자,21.32,2026-03-10 09:49:31
2,SK하이닉스,8.93,2026-03-10 09:49:31
3,현대차,4.62,2026-03-10 09:49:31
4,한화시스템,3.97,2026-03-10 09:49:31
5,두산에너빌리티,3.49,2026-03-10 09:49:31
6,한미반도체,2.90,2026-03-10 09:49:31
7,LIG넥스원,2.68,2026-03-10 09:49:31
8,에코프로,2.39,2026-03-10 09:49:31
9,삼성SDI,1.86,2026-03-10 09:49:31
10,S-Oil,1.67,2026-03-10 09:49:31
11,한화에어로스페이스,1.56,2026-03-10 09:49:31
12,NAVER,1.40,2026-03-10 09:49:31
13,한화솔루션,1.27,2026-03-10 09:49:31
14,한화오션,1.24,2026-03-10 09:49:31
15,미래에셋증권,1.22,2026-03-10 09:49:31
16,삼성중공업,1.17,2026-03-10 09:49:31
17,에코프로비엠,1.15,2026-03-10 09:49:31
18,알테오젠,0.98,2026-03-10 09:49:31
19,POSCO홀딩스,0.95,2026-03-10 09:49:31
20,현대로템,0.89,2026-03-10 09:49:31
21,삼천당제약,0.87,2026-03-10 09:49:31
22,셀트리온,0.86,2026-03-10 09:49:31
23,에이비엘바이오,0.85,2026-03-10 09:49:31
24,카카오,0.82,2026-03-10 09:49:31
25,한국전력,0.82,2026-03-10 09:49:31
26,흥구석유,0.82,2026-03-10 09:49:31
27,레인보우로보틱스,0.81,2026-03-10 09:49:31
28,펄어비스,0.76,2026-03-10 09:49:31
29,삼성전기,0.75,2026-03-10 09:49:31
30,스피어,0.75,2026-03-10 09:49:31
